subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{VPD, SW_IN, dSW_IN_POT, NIRv}",2.1178961312100058e-07,0.06555009044456861,0.05643368322603445,0.06459539749030317,-0.024913874840526096,0.0014919811666847388,0.0028761952613362493,0.0018967091583302967,0.0023190029232875373,0.0022321868266866884
"{TA, VPD, SW_IN, SW_IN_POT_daily, dSW_IN_POT_daily, EVI, NIRv, NDWI_SWIR2, PFT}",2.0310519085839974e-06,0.05380720208944792,0.05191591187041315,0.056869925169012264,0.14778923745315162,0.0014898630309120586,0.0031031868061479825,0.0013500792931714634,0.002139925144783561,0.005229686132924086
"{VPD, SW_IN, SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily, LST_Night, NDWI_SWIR2, PFT}",1.0898100345931157e-06,0.05529928823461393,0.05586154250147034,0.0643772885402006,0.0469692907136107,0.003029626793218762,0.003399738619742805,0.0017916327791852246,0.0016292795296864795,0.004432557368940021
"{TA, SW_IN, SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT_daily, EVI}",1.644021253047376e-07,0.06188729255805977,0.053204468269522895,0.06480488180562952,-0.14484069802899274,0.0017678440515886268,0.002020022152924912,0.0019149663487388544,0.0015504298822316964,0.002747241188388025
"{TA, SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily}",1.493420178101632e-05,0.07596358242477383,0.06729176442250397,0.08790366227063151,-0.6121590890498605,0.010646908963722654,0.0005033805898202459,0.00381690203790723,0.001097119159800021,0.007516801678196197
"{VPD, SW_IN, dSW_IN_POT, NIRv, NDWI_SWIR2, PFT}",2.362074364948148e-06,0.05717300234019772,0.055466069974848875,0.05884513687651498,0.09405369203386009,0.0029821851442675684,0.003954851978108909,0.0017330985176770355,0.0021352235723842566,0.006037172939807142
"{VPD, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, EVI}",2.8064661444846124e-07,0.07476049716957714,0.06356266672552033,0.08421117645543558,-0.31514963883088365,0.002878417886076956,0.0017769295901660376,0.002423590356123023,0.0031336228125633733,0.0019000883229118998
"{SW_IN_POT, dSW_IN_POT_daily, LST_Night, NIRv}",5.069693930867648e-07,0.0709723760370797,0.06648912777133326,0.08357023790873516,-0.46347756836376847,0.0025556306730801087,0.002783573629388747,0.0011979966118632196,0.0014183098806699324,0.0028770330066247435
"{TA, dSW_IN_POT_daily, LST_Night, EVI, NDWI_SWIR2, PFT}",5.6416445702969e-07,0.08434171416452911,0.08288965397482548,0.10732133847419942,-0.9739525366921233,0.0006116776839065335,0.0022052374909317524,0.0020921318125941557,0.001181943894208566,0.0026871337681202007
"{SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, NDWI_SWIR2}",1.060812719073534e-06,0.0669836625954978,0.06665073068584768,0.07880897185449967,-0.37402271803745873,0.0034639578934138673,0.0013281026409125984,0.002739585178253637,0.0005555728226734474,0.0017095737851989257
